,actual,test,prediction
210,6.2,6.5,6.431226
211,5.9,6.3,6.8041797
212,6.2,6.7,6.7485023
213,5.4,7.5,7.166612
214,7.2,5.5,5.6062183
215,5.2,6.2,5.854515
216,5.9,5.7,5.952525
217,5.2,5.7,5.6446066
218,6.3,6.5,6.784468
219,5.4,5.9,5.779455
220,6.4,6,5.842039
221,6.3,5.6,6.151554
222,5.7,5.3,5.3857923
223,5.7,4.5,6.1691875
224,4.9,7.5,7.2739835
225,5.9,5.4,5.672688
226,6.4,6.3,5.960416
227,7.1,6,6.175308
228,6.4,7.7,7.0154147
229,7.5,5.7,5.91495
230,6.3,6.1,5.9284415
231,6.3,7.4,6.857446
232,6.8,5.9,6.2029734
233,5,6.7,6.39372
234,5.8,7.7,6.9863987
235,6,7,6.8484206
236,5.8,5.7,5.7997217
237,7.3,6.1,5.9679527
238,5.7,6,6.7206016
239,5.8,7.4,6.9798064
240,4.4,5.2,5.803052
241,6.3,8.2,7.6278353
242,6,7.6,7.2262106
243,6,7.7,6.559401
244,6.8,5.5,5.5645285
245,6.4,7.5,7.0578504
246,6.5,7.1,6.4518967
247,6.2,6.8,6.542558
248,7,6,6.3399477
249,4.9,7.3,7.2541943
250,5.5,7.4,6.514047
251,6.1,6.7,6.676831
252,5.5,6.1,5.8166566
253,5.7,4.2,4.689789
254,5.9,6.7,6.2381124
255,6.6,6.3,6.583827
256,5.5,5.8,6.150061
257,4.1,7.7,6.6996684
258,6.6,6.8,6.9641194
259,6.4,6.6,6.0058236
260,8,7.4,6.667425
261,5.7,7.4,7.249818
262,6.7,7.2,6.8192525
263,6.7,6.4,6.060217
264,6.6,6.7,6.40197
265,5.8,7.1,6.185518
266,6.7,6.2,5.9607005
267,7.6,6,6.061355
268,6.5,6.7,6.7750125
269,3.7,6.5,6.1370425
270,6.1,4.5,5.822026
271,7.9,6.8,5.8633676
272,7.1,6,5.866736
273,7.4,5.9,5.883075
274,7.3,7.8,6.3606157
275,5.6,6,6.506562
276,7.7,7.6,7.3352504
277,6.5,3.9,5.8898845
278,7.4,6.9,6.298998
279,6.8,6.7,6.2843847
280,6.2,5,5.653066
281,5.4,5.4,5.675599
282,6.1,8,7.351526
283,5.6,6.8,6.679806
284,7.8,7.5,7.302909
285,6.8,5.7,6.5796204
286,7.2,6,6.090877
287,6.1,4.9,5.38727
288,6.4,6.9,6.963493
289,4.9,7.5,7.104313
290,6.4,7.7,7.5948415
291,6.4,7.2,7.146692
292,6,7,6.610629
293,5.5,5.7,5.8849754
294,7.3,6.5,6.0955777
295,7.9,5.9,6.642917
296,5.2,5.8,6.488247
297,6.7,5.2,5.7765245
298,6.6,6.4,6.4421163
299,6.5,6,6.2204776
300,4.2,5.3,5.6099763
301,5.6,6.9,6.7813888
302,7.2,6.6,6.6339364
303,5.3,4.7,5.620512
304,6.1,8,7.76947
305,5.5,5.3,5.8984346
306,6.5,6.1,5.9707823
307,4.4,6.5,6.1223426
308,6.4,6.2,6.1331797
309,6.5,6.4,6.2368393
310,7.1,6.6,6.4902735
311,6,6.3,6.595174
312,7.1,4.7,5.7790775
313,7.1,7.7,7.3347993
314,5.9,6.9,6.802004
315,5.4,6.8,6.458002
316,7.2,5.4,5.799301
317,5.6,6.1,6.2701564
318,7.3,6.3,6.5131884
319,5.4,6.1,5.990319
320,7,7.3,7.0710044
321,6.2,6.7,6.527816
322,6.7,6.1,6.9021826
323,6.6,6.2,5.9608374
324,7.6,6.2,5.8804255
325,8.1,7,6.861186
326,8,6.2,6.4303093
327,5.2,6.3,6.4612436
328,5.7,6.7,6.260935
329,5.9,6.5,6.212529
330,5.7,6.3,5.966852
331,7,7.7,7.1238303
332,6.3,4.3,5.913893
333,5.2,6.4,6.3668733
334,5.8,7.3,7.120614
335,7.4,7.1,6.4719377
336,5.7,6.1,6.110285
337,6,6.9,6.2153125
